FspId,FspX,FspY,SegId,FilledElev,DsDist,StrOrd
441,-59408.2057939356,1798587.9445651,4,333.333709716797,26125.7395206631,3
442,-59398.2057939356,1798587.9445651,4,333.333709716797,26115.7395206631,3
443,-59388.2057939356,1798587.9445651,4,333.333709716797,26105.7395206631,3
444,-59378.2057939356,1798587.9445651,4,333.333709716797,26095.7395206631,3
445,-59368.2057939356,1798587.9445651,4,333.166015625,26085.7395206631,3
446,-59358.2057939356,1798587.9445651,4,333.162658691406,26075.7395206631,3
447,-59348.2057939356,1798587.9445651,4,333.162658691406,26065.7395206631,3
448,-59338.2057939356,1798587.9445651,4,333.162658691406,26055.7395206631,3
449,-59328.2057939356,1798577.9445651,4,333.162658691406,26041.59738503937,3
450,-59318.2057939356,1798577.9445651,4,333.162658691406,26031.59738503937,3
451,-59308.2057939356,1798567.9445651,4,333.162658691406,26017.455249415638,3
452,-59298.2057939356,1798567.9445651,4,333.162658691406,26007.455249415638,3
453,-59288.2057939356,1798557.9445651,4,333.162658691406,25993.313113791908,3
454,-59278.2057939356,1798547.9445651,4,333.162658691406,25979.17097816818,3
455,-59268.2057939356,1798537.9445651,4,333.162658691406,25965.028842544445,3
456,-59258.2057939356,1798527.9445651,4,333.162658691406,25950.886706920715,3
457,-59248.2057939356,1798517.9445651,4,333.162658691406,25936.744571296982,3
458,-59248.2057939356,1798507.9445651,4,333.162658691406,25926.744571296982,3
459,-59238.2057939356,1798497.9445651,4,333.162658691406,25912.602435673252,3
460,-59228.2057939356,1798487.9445651,4,333.162658691406,25898.460300049523,3
461,-59218.2057939356,1798477.9445651,4,333.162658691406,25884.31816442579,3
462,-59208.2057939356,1798467.9445651,4,333.162658691406,25870.17602880206,3
463,-59198.2057939356,1798457.9445651,4,333.162658691406,25856.033893178326,3
464,-59188.2057939356,1798457.9445651,4,333.162658691406,25846.033893178326,3
465,-59178.2057939356,1798457.9445651,4,333.162658691406,25836.033893178326,3
466,-59168.2057939356,1798447.9445651,4,333.162658691406,25821.891757554597,3
467,-59158.2057939356,1798447.9445651,4,333.162658691406,25811.891757554597,3
468,-59148.2057939356,1798447.9445651,4,333.162658691406,25801.891757554597,3
469,-59138.2057939356,1798447.9445651,4,333.162658691406,25791.891757554597,3
470,-59128.2057939356,1798447.9445651,4,333.162658691406,25781.891757554597,3
471,-59118.2057939356,1798437.9445651,4,333.162658691406,25767.749621930867,3
472,-59108.2057939356,1798427.9445651,4,333.162658691406,25753.607486307134,3
473,-59108.2057939356,1798417.9445651,4,333.162658691406,25743.607486307134,3
474,-59098.2057939356,1798407.9445651,4,333.162658691406,25729.465350683404,3
475,-59098.2057939356,1798397.9445651,4,333.162658691406,25719.465350683404,3
476,-59088.2057939356,1798387.9445651,4,333.162658691406,25705.323215059674,3
477,-59078.2057939356,1798377.9445651,4,333.162658691406,25691.18107943594,3
478,-59068.2057939356,1798367.9445651,4,333.162658691406,25677.03894381221,3
479,-59058.2057939356,1798357.9445651,4,333.162658691406,25662.89680818848,3
480,-59048.2057939356,1798347.9445651,4,333.162658691406,25648.754672564748,3
481,-59038.2057939356,1798337.9445651,4,333.162658691406,25634.61253694102,3
482,-59028.2057939356,1798327.9445651,4,333.162658691406,25620.470401317285,3
483,-59018.2057939356,1798317.9445651,4,333.162658691406,25606.328265693555,3
484,-59008.2057939356,1798307.9445651,4,333.162658691406,25592.186130069826,3
485,-59008.2057939356,1798297.9445651,4,333.162658691406,25582.186130069826,3
486,-58998.2057939356,1798287.9445651,4,333.162658691406,25568.043994446092,3
487,-58998.2057939356,1798277.9445651,4,333.162658691406,25558.043994446092,3
488,-58998.2057939356,1798267.9445651,4,333.162658691406,25548.043994446092,3
489,-58988.2057939356,1798257.9445651,4,333.162658691406,25533.901858822363,3
490,-58988.2057939356,1798247.9445651,4,333.162658691406,25523.901858822363,3
491,-58978.2057939356,1798237.9445651,4,333.162658691406,25509.75972319863,3
